	N120	N123	N124	N126	N130	N131	N138	N140	N144	N146	N148	N149	N150	N151	N152	N153	N155	N158	N160	N163	N164	N165	N166	N169	N171	N172	N176	N178	N179	N182	N185	N186	N187	N188	N189	N192	N193	N195	N197	N198	N199	N200	N202	N203	N205	N210	N212	N214	N215	N216	N217	N221	N222	N224	N226	N228	N229	N232	N233	N234	N235	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N259	N261	N265	N267	N268	N269	N270	N153A
GP1BA	2.848983173	6.191968426	2.814597227	4.611428688	7.247520672	4.103266476	4.847483348	2.561950593	4.230124707	6.369583971	4.954801435	4.024168377	5.979733173	4.741149649	3.210101684	5.171185735	2.293231268	6.252633173	4.675405254	7.144209203	3.478150323	4.318724707	4.524986346	7.18688619	3.740563173	4.403924571	5.280088852	5.194581188	4.675323173	5.877281268	5.994298688	4.218872824	3.420636266	4.638301733	3.819656999	3.683451268	5.48341	4.60862	4.327714707	3.593068767	4.18623907	3.263383689	2.856963348	4.039507338	3.502889879	2.472168767	3.995933173	4.954284185	5.818028095	6.552353349	7.375839649	4.805189879	5.514666472	4.311981268	3.951255195	5.675948095	4.529956758	4.774307499	5.357151631	5.000705735	3.98433	5.442876187	5.020428095	3.6674	3.149596476	4.885176176	2.65064	4.740069879	4.195586472	0.26080907	4.913066266	5.462948095	4.01156	5.038634234	4.30575314	3.884663971	3.142602824	2.80444	3.52370907	3.59275
LYVE1	5.280693173	5.618678426	0.738187227	4.450568688	5.688040672	6.331226476	5.155563348	3.759610593	6.059014707	5.759983971	6.060551435	5.130698377	7.243843173	5.546529649	4.862481684	5.497335735	3.298501268	6.463863173	5.938965254	4.759679203	3.513740323	4.723274707	5.473556346	8.42645619	5.279853173	4.240904571	6.264008852	5.325041188	3.516223173	5.085011268	4.014338688	3.498052824	4.461666266	6.182491733	4.612616999	5.459431268	4.20156	5.23812	5.011164707	4.205778767	4.94045907	5.612903689	3.935743348	6.636527338	4.326119879	3.643698767	5.350603173	5.517104185	6.795728095	5.170753349	5.606249649	6.980279879	6.615626472	6.789811268	5.225055195	4.091538095	5.576166758	6.813687499	5.223251631	5.624635735	4.56254	5.372346187	4.839688095	2.28958	5.163566476	5.386766176	4.69277	5.376529879	4.380086472	0.59839907	4.900686266	5.975938095	4.52977	6.140774234	4.03616314	5.766403971	5.394622824	3.75976	4.72809907	3.47215
CA3	4.590303173	4.590618426	0.970617227	5.046938688	6.595950672	4.030796476	5.234353348	3.429360593	4.313154707	4.437213971	5.960281435	4.949398377	5.061873173	5.031659649	3.933881684	4.560015735	3.250531268	5.481663173	4.802825254	4.836939203	4.150330323	7.032904707	4.868216346	8.48719619	4.489343173	4.274964571	4.650168852	4.734391188	4.040223173	5.790131268	1.797398688	4.041872824	2.387296266	7.088981733	6.731646999	7.049081268	6.30238	4.38102	3.799634707	6.096578767	4.63557907	3.433033689	0.981383348	4.458267338	3.742829879	2.599108767	4.524423173	6.331414185	4.841848095	6.764273349	6.830059649	5.163349879	5.289216472	3.565761268	2.812235195	5.207178095	5.240066758	5.602827499	4.335691631	5.095655735	3.04747	4.719256187	6.311658095	1.99261	5.026096476	5.428736176	3.30529	5.300719879	2.980646472	0.86335907	4.943406266	4.674118095	4.88947	4.801264234	3.81861314	4.807343971	3.984632824	3.42321	6.80715907	2.48327
TGFBR3	1.859013173	-0.068411574	0.391527227	0.759868688	0.780980672	0.490926476	2.033333348	0.0	2.044614707	1.619833971	2.426751435	2.473248377	3.535573173	1.252239649	-0.208798316	1.422115735	1.618961268	2.729943173	0.946225254	1.441099203	0.0	0.471374707	1.873016346	4.89958619	0.528903173	0.870444571	1.872968852	2.467521188	0.0	1.359111268	0.0	0.876172824	0.0	2.635971733	2.042286999	0.526321268	0.0	1.61349	0.0	0.0	1.27351907	2.264943689	0.0	2.696447338	0.0	0.0	2.714613173	1.981524185	2.447638095	2.125683349	2.373259649	2.955479879	2.178856472	3.128891268	2.311205195	1.276068095	0.417376758	2.820487499	1.934341631	1.953685735	1.05267	0.0	2.566658095	0.0	-0.018853524	0.220076176	0.0	1.139069879	1.652386472	-0.96366093	1.827386266	0.750178095	0.69469	0.315184234	1.96592314	2.557093971	0.0	0.77439	2.30342907	0.89793
DEFA1	6.708553173	6.488088426	3.511537227	6.566518688	7.609550672	6.031726476	5.948323348	4.111420593	6.918764707	5.917453971	6.384921435	5.609768377	8.290963173	6.851879649	5.996271684	6.492655735	6.677421268	7.594513173	5.896985254	6.583809203	6.941930323	5.884624707	6.291686346	7.92974619	4.811593173	6.710274571	6.470138852	5.806551188	5.340453173	6.781891268	4.751908688	5.956222824	4.710426266	7.110121733	6.989336999	5.199211268	5.81807	5.54557	4.253754707	6.716108767	6.63604907	5.584783689	2.319263348	5.292777338	5.504329879	4.716298767	5.562603173	6.185044185	6.478728095	6.307003349	6.804479649	6.548609879	7.014276472	6.758251268	6.035825195	4.726528095	4.889376758	6.544127499	6.960291631	6.936375735	6.19987	7.183446187	6.131848095	3.26865	6.432976476	6.741126176	4.76255	7.576009879	5.652146472	-0.44880093	7.191336266	6.038238095	7.65372	6.509554234	6.86027314	6.788433971	4.543582824	5.73593	5.67058907	4.71636
CD59	6.571143173	5.879848426	5.772037227	5.954248688	5.732860672	6.135646476	6.395703348	6.031250593	6.157494707	6.482933971	6.352391435	6.990058377	7.672133173	6.607769649	5.730101684	6.937995735	6.117831268	6.855353173	6.668245254	5.821439203	6.176100323	6.189264707	6.744276346	10.95261619	6.681493173	6.327484571	6.721518852	7.609411188	6.851853173	6.869791268	5.955858688	6.816082824	6.747586266	7.028291733	6.308176999	5.877831268	6.21858	6.30812	6.334624707	6.347038767	6.71403907	7.343883689	6.081023348	7.226417338	6.705809879	6.404578767	6.891343173	6.499214185	6.647488095	6.674263349	6.869409649	7.015009879	7.248766472	7.987481268	6.911885195	6.588958095	6.449726758	6.643027499	6.680651631	7.192985735	6.18272	6.283516187	6.736508095	6.33355	5.805696476	5.476086176	6.01342	6.953289879	7.231026472	-1.31017093	6.697766266	6.657288095	5.87982	6.587584234	7.04492314	7.569883971	6.437352824	6.23818	6.83637907	6.20246
APOM	3.573643173	3.519758426	0.176937227	2.716708688	4.129930672	5.942986476	4.789213348	0.542980593	5.223234707	5.009373971	5.651731435	4.709838377	6.942943173	3.886119649	3.632181684	4.532035735	3.159191268	5.473963173	2.881405254	4.384519203	2.562130323	2.722344707	6.174896346	6.52077619	4.415883173	2.821664571	7.326068852	5.881381188	2.174443173	4.604981268	3.667598688	3.651702824	3.133616266	5.186951733	3.616936999	3.208361268	2.81202	4.61372	1.876034707	2.603038767	3.67502907	5.643693689	2.655743348	6.822377338	3.507709879	1.602758767	3.633863173	4.649744185	6.435588095	4.831293349	4.320019649	5.999439879	6.070636472	3.981961268	5.690955195	2.419128095	3.879586758	6.736827499	5.353471631	5.231115735	4.87479	4.375536187	4.577858095	1.40051	4.109096476	5.064166176	2.36875	4.455189879	4.273176472	-0.64766093	5.046986266	5.518278095	4.01305	3.584864234	5.03225314	4.266233971	1.777072824	2.56202	4.05704907	3.92753
OSMR	1.495643173	0.008918426	0.0	1.135958688	2.115400672	1.777826476	1.973343348	0.055520593	1.947984707	2.632413971	3.091401435	2.586108377	3.384533173	2.453699649	0.0	2.236605735	1.420811268	3.078183173	1.212855254	1.086489203	0.0	0.559394707	1.789316346	4.80663619	1.697173173	0.587944571	2.526928852	2.555731188	0.605543173	1.798401268	0.782148688	1.628432824	0.0	2.852071733	1.530366999	0.962911268	0.14432	2.19341	0.0	0.0	1.86933907	2.209363689	0.920033348	3.142657338	0.712969879	0.0	3.136633173	3.061284185	3.205448095	2.234033349	2.503479649	3.217989879	2.704426472	2.713121268	1.655765195	1.152648095	1.127636758	2.711717499	2.041021631	2.430835735	1.08436	1.242166187	2.230798095	0.08334	0.0	-0.163063824	0.0	1.320239879	1.692066472	0.38032907	2.796406266	1.858708095	0.0	1.907074234	1.72375314	2.789293971	0.0	0.73181	2.39407907	1.35729
LILRB2	8.861393173	9.385338426	5.103387227	7.992358688	10.02084067	9.005596476	9.266723348	10.27575059	9.832144707	8.424953971	10.24767144	8.772478377	10.30156317	8.847249649	9.939051684	10.03025574	8.920601268	11.28021317	9.222955254	10.1429792	10.81623032	8.928884707	8.359786346	12.51338619	8.875933173	8.993724571	9.315738852	10.43186119	8.214953173	9.313001268	8.679628688	10.51957282	6.792816266	11.06061173	9.546796999	9.574831268	7.23395	9.00796	8.893594707	8.519938767	10.12600907	10.06857369	8.806193348	8.934437338	8.184209879	8.713028767	10.42422317	10.41577419	10.51262809	10.70529335	9.575279649	9.667079879	9.070086472	10.00847127	8.427705195	8.072748095	10.08768676	9.646247499	9.577531631	10.45658574	8.57784	9.276456187	9.861148095	6.86461	8.609766476	8.707716176	8.272	8.847969879	7.383416472	0.01102907	9.903126266	9.378168095	8.55761	10.29207423	9.25976314	9.881413971	9.421602824	8.35408	9.43388907	8.76404
UMOD	0.0	0.041938426	-0.095652773	0.0	1.031500672	0.492216476	0.525303348	-0.173349407	0.237664707	0.361003971	0.944211435	0.0	1.672133173	0.0	0.0	0.0	1.075831268	1.741053173	0.0	0.622699203	0.444880323	0.255864707	1.352016346	4.67855619	0.680993173	0.0	1.282648852	1.735511188	0.731283173	0.0	-0.078761312	0.0	0.0	0.815281733	0.0	-0.054058732	0.02384	0.84072	0.006624707	0.0	0.98899907	1.341523689	0.115153348	1.644417338	0.869289879	0.0	0.521473173	0.435234185	0.489468095	0.0	0.473699649	1.606799879	0.945786472	2.189331268	1.268165195	0.0	0.0	1.409107499	0.885991631	1.272035735	0.53897	0.417736187	0.815368095	0.0841	0.233396476	0.262926176	0.0	0.0	1.101326472	0.19631907	1.069456266	0.920218095	0.08097	0.445904234	0.92833314	1.492823971	0.653052824	0.0	0.66013907	0.18941
CCL18	11.12631317	9.451338426	11.35667723	9.608958688	9.982300672	10.74610648	10.87852335	10.49686059	10.15705471	10.89344397	9.506881435	11.54329838	11.38061317	11.17486965	10.64382168	11.34070574	11.12377127	11.22230317	10.69578525	9.878689203	10.58316032	10.76658471	11.94263635	16.09730619	11.65820317	10.68295457	12.06728885	12.36817119	11.16973317	11.57605127	11.13394869	10.48614282	11.91192627	10.57649173	11.121817	11.12527127	10.95059	10.73211	10.28866471	10.26946877	10.82296907	11.19190369	11.08727335	11.71033734	11.53563988	10.82447877	10.85215317	10.23319419	10.12051809	10.42455335	10.91436965	11.86373988	11.71375647	12.90839127	11.68977519	11.02363809	10.79757676	10.8226975	10.53531163	10.85824574	10.0368	11.33533619	11.12023809	11.06054	9.974266476	10.11728618	10.34491	11.79899988	12.57767647	-0.63057093	11.18882627	10.69394809	10.80824	11.63531423	11.62422314	12.45322397	10.54640282	11.23079	10.65483907	11.37758
COL18A1	7.978563173	7.529798426	7.104847227	7.011318688	8.119200672	7.521726476	7.531353348	7.610990593	7.782844707	8.111003971	7.767511435	7.151958377	9.282653173	6.637019649	7.421501684	8.542795735	8.735551268	8.535623173	8.104895254	8.218829203	8.215320323	8.430394707	8.570126346	12.69562619	8.013453173	8.547084571	7.921468852	9.843761188	8.304203173	8.154401268	7.325858688	7.367242824	8.438846266	7.970131733	8.503236999	6.895611268	7.84443	7.42217	7.902084707	8.344258767	7.63270907	7.957363689	8.182323348	6.530507338	8.521309879	8.154958767	7.316713173	6.912914185	8.169088095	7.949943349	7.288229649	8.087409879	8.410856472	9.689051268	7.803065195	6.819748095	8.110446758	7.649767499	8.146301631	8.776625735	7.30713	8.331306187	8.022508095	6.63647	7.731116476	7.847996176	7.48307	8.303589879	7.859596472	-0.17287093	8.022346266	8.441258095	8.65766	7.916934234	8.81178314	8.497013971	8.956262824	7.18307	7.96977907	7.68651
LCN2	2.791913173	3.258838426	0.829937227	2.995918688	5.069560672	2.626886476	3.331883348	2.440840593	2.783644707	3.218803971	3.483611435	3.143888377	4.663423173	2.976609649	2.665911684	2.985665735	2.367571268	4.707733173	2.983465254	4.011879203	3.388250323	2.912564707	2.321366346	5.80324619	1.791203173	3.074724571	3.222268852	2.536371188	2.538273173	3.279501268	1.477748688	2.688672824	0.956736266	3.937341733	4.705956999	2.903291268	2.45652	2.1745	1.993524707	2.928698767	3.40627907	2.416353689	0.356523348	3.091067338	1.795109879	2.276608767	2.393803173	4.352324185	3.590348095	3.735243349	4.469229649	4.014779879	3.076276472	2.435871268	2.220765195	1.733088095	2.337806758	3.047067499	2.868021631	3.156205735	1.87918	4.294456187	3.454518095	1.00193	2.249146476	2.785436176	1.25357	3.605959879	1.729386472	-1.45825093	3.412436266	2.721888095	3.529	3.437814234	2.90008314	3.460233971	2.166812824	1.72576	1.89604907	1.10199
KIT	1.224363173	1.189348426	0.0	1.251918688	0.913360672	3.193436476	1.163123348	1.037760593	1.961354707	2.726553971	3.519301435	2.079488377	2.670313173	2.855139649	1.511351684	2.048665735	0.911741268	2.119373173	0.985355254	1.075539203	1.345000323	1.620294707	1.781956346	5.38484619	1.871263173	0.480814571	2.783608852	2.336831188	1.492503173	1.730231268	2.433278688	0.760182824	0.771966266	1.867081733	1.153016999	2.962301268	1.06769	2.77967	0.977084707	0.784088767	2.07552907	2.599913689	1.031983348	3.478367338	1.497639879	0.343738767	2.055833173	2.275824185	2.528428095	1.427273349	1.922049649	2.959649879	2.459146472	3.545881268	2.342885195	0.748568095	2.161806758	3.201007499	3.075041631	2.883975735	0.90105	2.153406187	1.420118095	0.0	1.018446476	0.263796176	0.75679	1.538609879	0.0	-1.29604093	2.293916266	1.870238095	0.02629	2.161594234	1.27818314	2.364083971	0.856452824	0.70006	1.70084907	2.69053
C1QTNF1	9.245163173	8.839608426	8.244907227	8.460978688	7.963450672	10.49344648	9.889963348	9.606380593	8.917694707	9.811963971	9.991841435	10.86067838	10.39549317	10.38763965	9.645671684	10.00391574	9.436181268	11.09163317	10.98324525	8.734099203	9.545080323	10.45165471	11.30195635	14.08940619	10.19303317	9.665994571	10.85006885	10.25140119	10.20638317	10.69714127	9.217318688	10.50519282	9.632036266	10.50664173	9.166786999	9.181571268	8.96999	9.29493	8.557074707	9.480798767	9.98244907	10.79569369	8.955933348	11.17945734	9.561729879	9.257328767	10.06520317	10.19888419	10.22299809	10.85615335	10.31227965	10.64983988	10.84648647	10.09568127	10.39260519	9.952548095	9.447976758	10.1872775	10.24634163	10.06749574	9.3255	8.360556187	10.60615809	9.82066	9.049656476	8.310846176	8.37304	9.888069879	10.14447647	-0.41535093	10.28744627	9.796068095	7.31136	10.79585423	10.71929314	11.15726397	8.690582824	9.74664	10.49173907	10.20458
AOC3	5.715243173	5.301318426	4.929657227	4.926698688	4.549980672	5.152326476	5.200403348	5.251440593	5.773314707	5.505473971	5.511101435	5.388868377	7.124663173	4.727679649	5.329141684	6.712085735	6.265701268	6.251063173	5.629735254	5.777089203	6.023570323	5.936094707	6.949446346	9.86351619	6.068253173	6.013804571	6.539998852	7.528581188	5.907373173	6.399771268	4.170898688	5.471972824	6.099106266	5.897311733	6.158856999	4.318521268	5.54412	5.43233	5.720204707	5.916558767	5.86453907	6.256773689	5.787803348	5.949377338	6.237019879	5.813168767	4.608903173	5.065414185	5.595588095	5.781463349	4.905519649	5.973909879	6.225956472	7.722061268	6.087625195	4.305538095	5.852246758	5.894917499	5.518801631	6.485075735	5.45558	4.804086187	5.355198095	4.58506	5.299946476	4.562436176	5.43542	5.832739879	5.806326472	0.00157907	6.105736266	5.997958095	5.88227	5.493084234	5.89765314	6.335353971	6.332222824	4.94156	5.61467907	5.41729
GAS6	12.72650317	7.754688426	11.02952723	11.87201869	7.557680672	11.31735648	12.32253335	10.64304059	12.27638471	12.54890397	12.14097144	12.66533838	13.82209317	10.65465965	8.990031684	13.17476574	13.22937127	12.72414317	12.32851525	11.2768592	11.25606032	8.448544707	13.41743635	16.60489619	11.88186317	13.17519457	13.76778885	14.81609119	9.477283173	13.03114127	6.946448688	12.76572282	8.380206266	12.58264173	12.294237	10.83645127	9.3075	12.32185	6.961654707	12.39156877	12.86640907	12.96522369	7.557853348	12.53751734	12.24135988	9.433168767	11.78873317	11.70880419	12.69019809	12.54193335	12.20233965	13.05601988	13.23159647	14.27507127	12.85495519	10.50411809	10.34544676	12.1815575	12.28428163	12.92095574	12.18025	9.065626187	12.40848809	9.09189	9.815776476	10.32943618	10.06527	11.71549988	13.38975647	-0.80821093	12.99249627	11.50800809	11.00616	10.38734423	13.93945314	14.01960397	6.564182824	12.57725	13.58907907	12.30619
IGLC2	7.435483173	7.125338426	5.842967227	6.810968688	7.491090672	7.311906476	7.047253348	6.564020593	7.394994707	6.921313971	7.297501435	7.787588377	8.848533173	7.807109649	7.164141684	7.496335735	7.843791268	7.929793173	7.709605254	6.751059203	6.968860323	7.215274707	7.312756346	10.75848619	7.037763173	7.408364571	7.652128852	8.378191188	7.110553173	7.251071268	7.057048688	7.209852824	7.738946266	7.756361733	7.563696999	7.090601268	6.74934	7.15547	7.491174707	7.316218767	7.54680907	8.058623689	7.143323348	7.931447338	7.284549879	6.835418767	7.453033173	7.373884185	7.971838095	7.744043349	7.642439649	8.274969879	7.762006472	8.765251268	7.707905195	6.893228095	7.572716758	8.086017499	7.513611631	8.097345735	7.01743	7.429976187	7.710528095	6.15731	7.361246476	7.353436176	6.97095	7.808559879	7.549546472	-0.26983093	7.594856266	7.969698095	7.69361	7.317674234	7.69981314	8.089293971	7.785042824	6.5751	7.65282907	6.42082
PLA2G7	0.518223173	-0.117241574	0.0	0.068528688	0.291840672	1.257016476	1.764613348	0.0	3.261494707	0.573993971	2.291341435	0.983568377	2.674733173	0.445519649	0.470121684	1.625605735	1.353761268	3.227533173	0.268075254	2.843799203	0.117850323	0.322994707	1.690856346	0.0	0.0	0.0	2.646738852	2.112951188	0.0	0.981451268	0.0	1.754152824	0.0	2.163961733	2.742746999	0.0	0.0	1.12261	0.0	0.0	1.12506907	3.116853689	0.0	1.947717338	0.0	0.0	0.0	2.383514185	3.576948095	1.812163349	1.433799649	1.632139879	1.397476472	1.926871268	1.844235195	0.0	0.0	2.228877499	1.250101631	2.370365735	1.8388	0.922386187	2.349728095	0.1046	0.159436476	0.777736176	0.0	0.758669879	0.995286472	-0.47722093	2.482036266	1.860068095	0.91731	0.486914234	1.24654314	1.483533971	0.0	0.16398	1.72433907	0.46397
TNXB	5.935403173	5.219898426	3.065287227	5.273848688	3.768930672	5.582186476	5.628213348	4.827600593	5.726474707	6.045553971	5.926821435	6.260438377	7.239543173	6.137529649	4.202501684	5.914805735	5.715211268	6.459003173	5.707055254	4.562609203	5.068850323	4.547804707	6.784896346	9.93547619	5.476283173	4.852924571	6.436208852	6.474421188	5.946243173	6.627381268	4.828128688	6.107492824	3.312296266	6.101231733	5.340516999	5.390871268	5.18846	5.93077	4.041264707	4.537868767	5.86006907	7.135443689	4.899703348	6.958767338	5.219009879	3.919828767	6.630633173	6.149394185	6.208858095	6.381783349	6.258949649	6.562069879	6.674856472	7.461311268	6.507545195	5.777198095	4.218466758	6.376307499	5.936781631	6.569005735	5.36958	5.488846187	6.221428095	5.52191	4.506946476	4.213486176	3.88193	5.757979879	6.310146472	0.30554907	6.645306266	5.875318095	3.01885	5.314794234	6.11198314	6.982573971	3.588622824	4.99222	6.15190907	5.3548
MFAP5	6.558873173	6.373618426	3.524907227	6.509578688	4.694250672	7.283646476	7.221983348	6.018980593	7.459534707	6.527273971	7.204241435	7.675638377	8.293613173	7.637679649	6.516961684	7.521595735	7.268471268	7.886333173	7.090125254	6.341489203	6.012510323	6.452994707	8.293056346	10.66738619	7.104223173	6.541214571	8.031018852	7.548011188	5.659393173	7.339841268	6.889778688	7.114082824	5.683126266	8.046521733	5.270996999	6.852391268	5.80008	7.01946	5.760874707	6.937528767	6.73431907	8.347763689	6.036403348	8.307017338	6.857879879	5.137848767	7.422623173	7.374904185	7.644318095	7.016573349	7.403349649	8.050179879	7.795966472	8.018801268	8.016355195	5.983028095	7.043096758	7.817697499	6.439381631	8.090445735	6.81687	6.877776187	7.142588095	5.38436	6.581196476	5.959036176	5.41595	6.252399879	6.438416472	-0.13039093	7.412056266	7.236498095	6.41731	6.823704234	7.48489314	8.047673971	5.037182824	6.51314	6.97714907	5.9501
VASN	2.263423173	1.743668426	0.289927227	2.095468688	2.897360672	4.026996476	2.624253348	1.199350593	2.548704707	2.789033971	3.618481435	4.424148377	4.652243173	3.841419649	1.723531684	2.703915735	1.503861268	4.009163173	3.435685254	1.295489203	1.493640323	2.244804707	3.258186346	6.18974619	2.704413173	1.333254571	3.125778852	3.080581188	1.721983173	2.632591268	1.404238688	2.131172824	1.455336266	3.888571733	1.897546999	3.642821268	1.37406	3.45711	0.850484707	1.548118767	2.74641907	3.645373689	1.427403348	5.124867338	2.145359879	0.611718767	3.749683173	3.508894185	3.788818095	3.814963349	4.851779649	4.325839879	4.925106472	3.515631268	2.879995195	3.031068095	2.115376758	4.142947499	2.511341631	2.951045735	2.60052	1.512366187	3.243308095	1.32777	0.841836476	0.989356176	0.84901	2.351489879	2.760676472	0.95033907	2.462306266	2.891748095	1.01797	3.224534234	2.75288314	3.837613971	0.629872824	2.80685	3.66028907	1.81905
LILRB5	7.234063173	7.708278426	2.663727227	7.526178688	7.983660672	7.587936476	6.367363348	5.469890593	8.067414707	5.921273971	10.35228144	6.294508377	8.936273173	5.991889649	5.185041684	8.259145735	4.651411268	8.316893173	6.971885254	7.273859203	6.237260323	7.439424707	5.935026346	10.98733619	6.882373173	5.811574571	7.056228852	8.406471188	5.199093173	6.730081268	5.339758688	8.802432824	3.477626266	8.155051733	7.060456999	8.566311268	3.81605	7.39195	6.177704707	4.550818767	7.17202907	8.617063689	6.854823348	8.951967338	6.500909879	2.984358767	7.228323173	7.920624185	8.684418095	7.761673349	6.242449649	7.327329879	7.292036472	9.418231268	7.235255195	5.219218095	7.577986758	7.982847499	6.553051631	7.682765735	5.26461	7.417016187	8.219758095	4.8718	4.718086476	4.700126176	3.82207	6.226799879	5.627596472	-0.04014093	6.678516266	8.011588095	4.40421	6.400714234	7.02015314	8.251763971	3.612822824	3.74738	6.97953907	5.05139
C2	3.640873173	3.767818426	0.164687227	2.833118688	5.205790672	5.140036476	4.831413348	2.796420593	4.924154707	4.148473971	5.075641435	4.635948377	5.691903173	4.051509649	3.195291684	4.780285735	3.320891268	5.425323173	4.267435254	3.624979203	2.952180323	3.081364707	4.657126346	7.41475619	4.317663173	2.837684571	4.830638852	4.321981188	3.007983173	3.657351268	2.349318688	3.919582824	2.065796266	4.843241733	2.630216999	3.399021268	2.83013	4.35323	2.097754707	3.623958767	4.36136907	5.028743689	2.972723348	5.552957338	3.802899879	0.823258767	4.982223173	4.703364185	4.813488095	4.568853349	5.050059649	5.965959879	5.637626472	4.887251268	4.162165195	3.562278095	4.178396758	5.556357499	4.137641631	4.782205735	3.69053	3.397056187	4.535368095	2.60615	2.678756476	3.544996176	2.0806	3.641019879	3.305266472	0.50146907	3.999686266	4.528588095	4.25814	4.778644234	3.79909314	4.743613971	1.922302824	2.84449	4.67361907	2.57082
TNFRSF14	4.144853173	3.737228426	1.375027227	3.953308688	4.001470672	5.312856476	4.490893348	4.479260593	4.582804707	3.751293971	6.141371435	4.677088377	6.097983173	4.814239649	5.340051684	4.752695735	2.645611268	6.110453173	4.621755254	4.077639203	4.488330323	4.398714707	3.160786346	8.23781619	4.387373173	2.939624571	4.733748852	4.999561188	2.659493173	3.418291268	4.028398688	5.062502824	2.905196266	5.748881733	3.581556999	5.867171268	2.27665	4.54794	3.488244707	2.183118767	4.33180907	5.339703689	3.294433348	5.633397338	3.222089879	2.525858767	4.823083173	5.337364185	5.785118095	4.659423349	4.962169649	5.572589879	4.509626472	6.286241268	3.727225195	3.928568095	4.987946758	6.036187499	4.562341631	5.660335735	3.45156	3.992526187	4.360438095	2.68514	4.422636476	3.827496176	3.42575	4.003929879	3.787916472	2.96917907	3.999126266	4.283428095	2.21702	5.268544234	3.87969314	4.906873971	3.429912824	3.62983	4.22805907	3.54889
LDL receptor	5.373723173	4.091738426	4.606457227	3.928718688	5.111290672	5.085396476	4.676953348	2.369480593	4.856004707	3.469453971	4.852411435	4.414748377	7.755603173	2.918939649	3.016831684	4.942095735	5.249201268	4.094673173	5.089105254	4.089269203	3.169760323	5.301404707	6.659526346	9.92496619	5.791543173	5.498014571	4.419578852	6.756811188	4.349953173	6.432201268	2.731018688	3.808512824	5.702036266	6.310541733	4.665536999	2.871061268	5.01221	5.87409	4.049824707	5.203088767	5.62008907	4.850363689	2.836993348	4.407217338	6.078049879	4.636588767	3.741693173	4.983564185	3.770688095	6.191283349	5.946709649	7.361319879	6.230236472	5.562501268	7.099655195	2.319958095	5.132406758	5.501607499	7.561711631	6.142485735	4.76135	3.855256187	5.217188095	1.23172	5.167956476	3.237396176	4.2333	6.668469879	6.435126472	3.60618907	4.966656266	4.826078095	4.21106	2.288874234	6.81932314	4.560603971	4.171042824	4.64049	4.99917907	4.18686
ITGB2	7.645873173	7.955658426	5.924247227	7.727708688	9.192670672	7.923906476	8.006733348	8.301150593	8.923994707	7.297333971	9.228041435	7.743498377	9.523523173	8.161389649	8.087901684	9.694355735	7.062671268	10.00809317	7.391565254	9.588699203	8.789220323	8.299274707	6.778246346	11.40072619	8.531463173	7.800334571	8.583778852	9.487671188	6.909663173	7.988801268	8.462628688	8.958272824	6.078706266	8.907891733	8.846706999	7.800591268	6.60285	8.75947	5.967004707	6.188098767	9.03264907	8.935983689	6.828193348	8.812507338	7.084159879	5.678928767	8.206113173	9.080224185	9.221018095	8.796893349	8.882729649	8.757399879	7.035966472	9.881421268	7.456425195	7.842068095	8.583076758	8.900027499	9.168791631	9.609565735	8.18484	8.920396187	9.141378095	5.89511	7.944066476	8.053786176	5.94498	8.364259879	6.528516472	7.28351907	8.893006266	8.114208095	8.33048	8.686344234	8.31994314	8.413353971	6.455362824	8.10375	8.32415907	7.89259
IL-17RA	2.674593173	1.988148426	0.882887227	2.308278688	3.106360672	2.813616476	2.454223348	2.679360593	2.782234707	2.349643971	4.739171435	2.593588377	4.631283173	3.043469649	1.884961684	4.106425735	1.270731268	5.266703173	2.713855254	3.556589203	2.388900323	1.876254707	1.523566346	6.39390619	2.723273173	1.963724571	2.939188852	3.433661188	1.250273173	2.404051268	1.875748688	3.847112824	0.992746266	4.734371733	3.062116999	2.485251268	1.22127	2.79626	0.914814707	0.816318767	3.78224907	2.982673689	1.401903348	2.741227338	1.767169879	0.0	3.233853173	5.136364185	4.155048095	4.014313349	4.033939649	3.834329879	1.832166472	4.314351268	2.595335195	2.260568095	2.669966758	3.194067499	4.148601631	4.432275735	2.32564	2.577156187	3.348028095	1.12203	1.450776476	0.872076176	0.61738	2.673989879	1.893736472	1.73058907	3.118726266	1.976048095	0.54894	2.523844234	1.91517314	3.029063971	0.788102824	2.2316	3.16128907	2.63172
TNF-R2	2.103993173	2.575308426	0.382747227	2.021708688	3.873820672	3.942906476	2.664183348	3.979020593	3.082384707	1.818693971	4.262221435	2.901428377	4.299593173	2.854529649	3.752861684	3.086965735	1.656321268	6.354473173	3.003005254	3.779949203	4.236610323	2.278274707	1.827996346	5.21163619	2.382503173	1.770554571	3.257468852	2.687941188	0.580633173	1.545711268	1.299678688	2.622722824	0.701566266	4.448961733	3.025746999	3.416411268	0.69457	2.87921	2.315674707	1.325288767	2.93775907	3.773483689	1.739613348	3.195967338	0.965339879	0.459328767	3.449163173	3.357354185	4.068668095	3.501893349	3.335809649	4.166249879	2.499346472	3.723441268	1.824165195	1.468698095	3.007066758	3.884167499	2.502051631	3.517015735	2.2752	2.621546187	3.203848095	0.0	3.271936476	2.453496176	1.84686	2.305389879	1.409496472	1.03605907	2.292966266	3.214378095	2.75711	4.465204234	1.46398314	2.923733971	2.493592824	1.49206	2.01768907	1.50933
